 Сортировка пузырьком, Почти отсортированный, 20000, 2.16395 сек
 Сортировка пузырьком, Почти отсортированный, 30000, 4.66287 сек
 Сортировка пузырьком, Почти отсортированный, 40000, 8.234 сек
 Сортировка пузырьком, Почти отсортированный, 50000, 12.8193 сек
 Сортировка пузырьком, Почти отсортированный, 60000, 18.5179 сек
 Сортировка пузырьком, Почти отсортированный, 70000, 25.2651 сек
 Сортировка пузырьком, Почти отсортированный, 80000, 32.906 сек
 Сортировка пузырьком, Почти отсортированный, 90000, 41.6958 сек
 Сортировка пузырьком, Почти отсортированный, 100000, 51.8445 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 1000, 0.0094469 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 10000, 0.954124 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 20000, 3.81346 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 30000, 8.64156 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 40000, 15.2844 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 50000, 23.803 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 60000, 34.2722 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 70000, 46.7185 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 80000, 60.8972 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 90000, 78.4868 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 100000, 95.2963 сек
 Сортировка пузырьком, Отсортированный, 1000, 0.004227 сек
 Сортировка пузырьком, Отсортированный, 10000, 0.415624 сек
 Сортировка пузырьком, Отсортированный, 20000, 1.67255 сек
 Сортировка пузырьком, Отсортированный, 30000, 3.75733 сек
 Сортировка пузырьком, Отсортированный, 40000, 6.65506 сек
 Сортировка пузырьком, Отсортированный, 50000, 10.398 сек
 Сортировка пузырьком, Отсортированный, 60000, 14.995 сек
 Сортировка пузырьком, Отсортированный, 70000, 20.4424 сек
 Сортировка пузырьком, Отсортированный, 80000, 26.6691 сек
 Сортировка пузырьком, Отсортированный, 90000, 33.7072 сек
 Сортировка пузырьком, Отсортированный, 100000, 41.7141 сек
 Сортировка слиянием, Случайный, 1000, 0.0017923 сек
 Сортировка слиянием, Случайный, 10000, 0.0186122 сек
 Сортировка слиянием, Случайный, 20000, 0.0384747 сек
 Сортировка слиянием, Случайный, 30000, 0.0568391 сек
 Сортировка слиянием, Случайный, 40000, 0.0753719 сек
 Сортировка слиянием, Случайный, 50000, 0.0962897 сек
 Сортировка слиянием, Случайный, 60000, 0.115891 сек
 Сортировка слиянием, Случайный, 70000, 0.134714 сек
 Сортировка слиянием, Случайный, 80000, 0.153706 сек
 Сортировка слиянием, Случайный, 90000, 0.173977 сек
 Сортировка слиянием, Случайный, 100000, 0.194453 сек
 Сортировка слиянием, Почти отсортированный, 1000, 0.0016408 сек
 Сортировка слиянием, Почти отсортированный, 10000, 0.01777 сек
 Сортировка слиянием, Почти отсортированный, 20000, 0.0352967 сек
 Сортировка слиянием, Почти отсортированный, 30000, 0.0534986 сек
 Сортировка слиянием, Почти отсортированный, 40000, 0.0705817 сек
 Сортировка слиянием, Почти отсортированный, 50000, 0.0895214 сек
 Сортировка слиянием, Почти отсортированный, 60000, 0.108159 сек
 Сортировка слиянием, Почти отсортированный, 70000, 0.12538 сек
 Сортировка слиянием, Почти отсортированный, 80000, 0.143747 сек
 Сортировка слиянием, Почти отсортированный, 90000, 0.16271 сек
 Сортировка слиянием, Почти отсортированный, 100000, 0.180245 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 1000, 0.00169 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 10000, 0.0173551 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 20000, 0.0353338 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 30000, 0.0529814 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 40000, 0.0725801 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 50000, 0.08927 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 60000, 0.107411 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 70000, 0.124321 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 80000, 0.142248 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 90000, 0.161477 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 100000, 0.179311 сек
 Сортировка слиянием, Отсортированный, 1000, 0.0017534 сек
 Сортировка слиянием, Отсортированный, 10000, 0.0173731 сек
 Сортировка слиянием, Отсортированный, 20000, 0.0354111 сек
 Сортировка слиянием, Отсортированный, 30000, 0.0534806 сек
 Сортировка слиянием, Отсортированный, 40000, 0.0715708 сек
 Сортировка слиянием, Отсортированный, 50000, 0.0886189 сек
 Сортировка слиянием, Отсортированный, 60000, 0.107019 сек
 Сортировка слиянием, Отсортированный, 70000, 0.125082 сек
 Сортировка слиянием, Отсортированный, 80000, 0.14378 сек
 Сортировка слиянием, Отсортированный, 90000, 0.16171 сек
 Сортировка слиянием, Отсортированный, 100000, 0.179917 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 1000, 0.0003494 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 10000, 0.0065995 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 20000, 0.0149631 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 30000, 0.0234498 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 40000, 0.0341802 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 50000, 0.044648 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 60000, 0.0531757 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 70000, 0.0655177 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 80000, 0.0796435 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 90000, 0.0886109 сек
 Сортировка Шелла (последовательность Шелла), Случайный, 100000, 0.100587 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 1000, 0.000175 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 10000, 0.0026207 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 20000, 0.0053937 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 30000, 0.0086674 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 40000, 0.0120742 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 50000, 0.0148636 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 60000, 0.018535 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 70000, 0.0223852 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 80000, 0.0257501 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 90000, 0.0288474 сек
 Сортировка Шелла (последовательность Шелла), Почти отсортированный, 100000, 0.0323085 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 1000, 0.0003493 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 10000, 0.0032024 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 20000, 0.0070194 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 30000, 0.0104817 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 40000, 0.0151637 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 50000, 0.0194288 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 60000, 0.022736 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 70000, 0.0265733 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 80000, 0.0319101 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 90000, 0.0356235 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный в обратном порядке, 100000, 0.0410232 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 1000, 0.0001006 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 10000, 0.0015314 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 20000, 0.0033364 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 30000, 0.0051656 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 40000, 0.0071606 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 50000, 0.0089338 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 60000, 0.0107232 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 70000, 0.0136608 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 80000, 0.0159791 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 90000, 0.0172594 сек
 Сортировка Шелла (последовательность Шелла), Отсортированный, 100000, 0.0192897 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 1000, 0.0024704 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 10000, 0.227282 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 20000, 0.895296 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 30000, 2.03039 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 40000, 3.59322 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 50000, 5.6218 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 60000, 8.09777 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 70000, 11.0036 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 80000, 14.2834 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 90000, 18.1782 сек
 Сортировка Шелла (последовательность Хиббарда), Случайный, 100000, 22.9374 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 1000, 0.0012532 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 10000, 0.103548 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 20000, 0.416855 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 30000, 0.894976 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 40000, 1.58413 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 50000, 2.64485 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 60000, 3.56803 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 70000, 4.78453 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 80000, 6.40275 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 90000, 8.06339 сек
 Сортировка Шелла (последовательность Хиббарда), Почти отсортированный, 100000, 10.215 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 1000, 0.0043108 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 10000, 0.398535 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 20000, 1.60411 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 30000, 3.55183 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 40000, 6.30086 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 50000, 9.89173 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 60000, 14.4627 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 70000, 19.6526 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 80000, 25.2628 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 90000, 31.7526 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный в обратном порядке, 100000, 39.0475 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 1000, 0.0001252 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 10000, 0.0019959 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 20000, 0.0039977 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 30000, 0.006993 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 40000, 0.0091491 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 50000, 0.0118215 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 60000, 0.0148001 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 70000, 0.0179739 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 80000, 0.0201312 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 90000, 0.0222737 сек
 Сортировка Шелла (последовательность Хиббарда), Отсортированный, 100000, 0.0253559 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 1000, 0.0035856 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 10000, 0.328691 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 20000, 1.27492 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 30000, 2.89604 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 40000, 5.15396 сек
